year,mean_soi,mean_nino34,phase_soi,phase_nino34,phase_either,phase_both
1901,7,-0.31,lanina,neutral,lanina,lanina
1902,-5.625,1.2149999999999999,neutral,elnino,elnino,elnino
1903,3.5749999999999997,-0.28,neutral,neutral,neutral,neutral
1904,-3.75,0.36,neutral,neutral,neutral,neutral
1905,-16.825,0.9675,elnino,elnino,elnino,elnino
1906,9.175,-0.38,lanina,neutral,lanina,lanina
1907,-0.9999999999999996,-0.37,neutral,neutral,neutral,neutral
1908,5.725,-0.4425,neutral,neutral,neutral,neutral
1909,11.025,-0.98,lanina,lanina,lanina,lanina
1910,16.9,-1.0275,lanina,lanina,lanina,lanina
1911,-11.425,-0.23,elnino,neutral,elnino,elnino
1912,-4.575,-0.1625,neutral,neutral,neutral,neutral
1913,-5.65,-0.0875,neutral,neutral,neutral,neutral
1914,-16.1,0.5525,elnino,elnino,elnino,elnino
1915,8.825,0.34750000000000003,lanina,neutral,lanina,lanina
1916,13.875,-1.0775000000000001,lanina,lanina,lanina,lanina
1917,28.5,0.007499999999999998,lanina,neutral,lanina,lanina
1918,-7.85,0.2075,elnino,neutral,elnino,elnino
1919,-8,0.5325,elnino,elnino,elnino,elnino
1920,6.6,0.21,neutral,neutral,neutral,neutral
1921,5.7749999999999995,-0.235,neutral,neutral,neutral,neutral
1922,2.975,-0.51,neutral,lanina,lanina,lanina
1923,-10.95,0.1225,elnino,neutral,elnino,elnino
1924,8.55,-0.8225,lanina,lanina,lanina,lanina
1925,-8.825000000000001,0.4425,elnino,neutral,elnino,elnino
1926,-3.5749999999999997,0.33,neutral,neutral,neutral,neutral
1927,2.25,-0.1775,neutral,neutral,neutral,neutral
1928,2.4,-0.1625,neutral,neutral,neutral,neutral
1929,0.5750000000000001,0.1275,neutral,neutral,neutral,neutral
1930,-4.65,0.7175,neutral,elnino,elnino,elnino
1931,8.35,0.1525,lanina,neutral,lanina,lanina
1932,-6.3500000000000005,0.0475,neutral,neutral,neutral,neutral
1933,0.275,-0.8075,neutral,lanina,lanina,lanina
1934,-3.8,-0.4025,neutral,neutral,neutral,neutral
1935,1.425,-0.2275,neutral,neutral,neutral,neutral
1936,-0.9,-0.2775,neutral,neutral,neutral,neutral
1937,0.47500000000000003,-0.06,neutral,neutral,neutral,neutral
1938,14.25,-0.7375,lanina,lanina,lanina,lanina
1939,-0.8250000000000002,0.1975,neutral,neutral,neutral,neutral
1940,-18.2,0.39,elnino,neutral,elnino,elnino
1941,-15.575000000000001,0.77,elnino,elnino,elnino,elnino
1942,5,-0.8,neutral,lanina,lanina,lanina
1943,2.125,-0.0975,neutral,neutral,neutral,neutral
1944,-1.725,-0.0475,neutral,neutral,neutral,neutral
1945,8.05,-0.715,lanina,lanina,lanina,lanina
1946,-10.05,-0.1325,elnino,neutral,elnino,elnino
1947,7.725,-0.435,lanina,neutral,lanina,lanina
1948,-3.95,-0.01,neutral,neutral,neutral,neutral
1949,-4.025,-0.52,neutral,lanina,lanina,lanina
1950,16.8,-0.9175,lanina,lanina,lanina,lanina
1951,-2.675,0.535,neutral,elnino,elnino,elnino
1952,0.9500000000000001,-0.505,neutral,lanina,lanina,lanina
1953,-8.375,0.33,elnino,neutral,elnino,elnino
1954,4.4,-0.9825,neutral,lanina,lanina,lanina
1955,16.15,-1.19,lanina,lanina,lanina,lanina
1956,9.025,-0.8725,lanina,lanina,lanina,lanina
1957,-5.375,0.635,neutral,elnino,elnino,elnino
1958,1.7,0.06749999999999999,neutral,neutral,neutral,neutral
1959,-4.025,-0.3875,neutral,neutral,neutral,neutral
1960,4,-0.10500000000000001,neutral,neutral,neutral,neutral
1961,3.469446951953614e-17,-0.2475,neutral,neutral,neutral,neutral
1962,3.5749999999999997,-0.3025,neutral,neutral,neutral,neutral
1963,-4.55,0.5975,neutral,elnino,elnino,elnino
1964,10.65,-0.805,lanina,lanina,lanina,lanina
1965,-15.25,0.9425,elnino,elnino,elnino,elnino
1966,0.44999999999999996,0.05500000000000001,neutral,neutral,neutral,neutral
1967,4.8,-0.27999999999999997,neutral,neutral,neutral,neutral
1968,4.25,0.22,neutral,neutral,neutral,neutral
1969,-5.625,0.3375,neutral,neutral,neutral,neutral
1970,5.300000000000001,-0.7525,neutral,lanina,lanina,lanina
1971,8.75,-0.7050000000000001,lanina,lanina,lanina,lanina
1972,-13.575000000000001,0.995,elnino,elnino,elnino,elnino
1973,11.05,-1.1524999999999999,lanina,lanina,lanina,lanina
1974,8.375,-0.505,lanina,lanina,lanina,lanina
1975,19.95,-1.2725,lanina,lanina,lanina,lanina
1976,-9.425,0.2575,elnino,neutral,elnino,elnino
1977,-13.475,0.375,elnino,neutral,elnino,elnino
1978,3.525,-0.5375,neutral,lanina,lanina,lanina
1979,-1.5,0.13249999999999998,neutral,neutral,neutral,neutral
1980,-2.5500000000000003,0.009999999999999998,neutral,neutral,neutral,neutral
1981,8.575,-0.2075,lanina,neutral,lanina,lanina
1982,-21.1,0.97,elnino,elnino,elnino,elnino
1983,-0.17499999999999985,-0.030000000000000002,neutral,neutral,neutral,neutral
1984,-0.44999999999999973,-0.5125,neutral,lanina,lanina,lanina
1985,-0.7999999999999998,-0.6074999999999999,neutral,lanina,lanina,lanina
1986,0.02499999999999991,0.22749999999999998,neutral,neutral,neutral,neutral
1987,-15.975000000000001,1.3975,elnino,elnino,elnino,elnino
1988,10.600000000000001,-1.4425,lanina,lanina,lanina,lanina
1989,4.050000000000001,-0.5175,neutral,lanina,lanina,lanina
1990,-1.525,0.11,neutral,neutral,neutral,neutral
1991,-7.8500000000000005,0.48,elnino,neutral,elnino,elnino
1992,-4.375,0.1275,neutral,neutral,neutral,neutral
1993,-12.1,0.34750000000000003,elnino,neutral,elnino,elnino
1994,-15.7,0.3375,elnino,neutral,elnino,elnino
1995,1.675,-0.21,neutral,neutral,neutral,neutral
1996,8.05,-0.225,lanina,neutral,lanina,lanina
1997,-17.05,1.6975,elnino,elnino,elnino,elnino
1998,11.35,-0.6925,lanina,lanina,lanina,lanina
1999,1.875,-0.9025,neutral,lanina,lanina,lanina
2000,1.5,-0.5175,neutral,lanina,lanina,lanina
2001,-2.175,-0.1125,neutral,neutral,neutral,neutral
2002,-9.174999999999999,0.6925,elnino,elnino,elnino,elnino
2003,-3.275,0.037500000000000006,neutral,neutral,neutral,neutral
2004,-8.125,0.47000000000000003,elnino,neutral,elnino,elnino
2005,0.12499999999999992,0.0225,neutral,neutral,neutral,neutral
2006,-8.9,0.28,elnino,neutral,elnino,elnino
2007,1.025,-0.535,neutral,lanina,lanina,lanina
2008,7.25,-0.2,lanina,neutral,lanina,lanina
2009,-0.44999999999999996,0.62,neutral,elnino,elnino,elnino
2010,16.5,-1.1,lanina,lanina,lanina,lanina
2011,6.175,-0.47500000000000003,neutral,neutral,neutral,neutral
2012,-3.625,0.42000000000000004,neutral,neutral,neutral,neutral
2013,6.35,-0.2475,neutral,neutral,neutral,neutral
2014,-5.875,0.28,neutral,neutral,neutral,neutral
2015,-16.075,1.68,elnino,elnino,elnino,elnino
2016,7.2,-0.2825,lanina,neutral,lanina,lanina
2017,1.9749999999999999,-0.07500000000000001,neutral,neutral,neutral,neutral
2018,-5.2,0.185,neutral,neutral,neutral,neutral
2019,-8.2,0.3425,elnino,neutral,elnino,elnino
2020,3.7250000000000005,-0.3325,neutral,neutral,neutral,neutral
2021,8.1,-0.28500000000000003,lanina,neutral,lanina,lanina
2022,14.325,-0.8375,lanina,lanina,lanina,lanina
