year,mean_soi,phase_soi
1901,7,lanina
1902,-5.625,neutral
1903,3.5749999999999997,neutral
1904,-3.75,neutral
1905,-16.825,elnino
1906,9.175,lanina
1907,-0.9999999999999996,neutral
1908,5.725,neutral
1909,11.025,lanina
1910,16.9,lanina
1911,-11.425,elnino
1912,-4.575,neutral
1913,-5.65,neutral
1914,-16.1,elnino
1915,8.825,lanina
1916,13.875,lanina
1917,28.5,lanina
1918,-7.85,elnino
1919,-8,elnino
1920,6.6,neutral
1921,5.7749999999999995,neutral
1922,2.975,neutral
1923,-10.95,elnino
1924,8.55,lanina
1925,-8.825000000000001,elnino
1926,-3.5749999999999997,neutral
1927,2.25,neutral
1928,2.4,neutral
1929,0.5750000000000001,neutral
1930,-4.65,neutral
1931,8.35,lanina
1932,-6.3500000000000005,neutral
1933,0.275,neutral
1934,-3.8,neutral
1935,1.425,neutral
1936,-0.9,neutral
1937,0.47500000000000003,neutral
1938,14.25,lanina
1939,-0.8250000000000002,neutral
1940,-18.2,elnino
1941,-15.575000000000001,elnino
1942,5,neutral
1943,2.125,neutral
1944,-1.725,neutral
1945,8.05,lanina
1946,-10.05,elnino
1947,7.725,lanina
1948,-3.95,neutral
1949,-4.025,neutral
1950,16.8,lanina
1951,-2.675,neutral
1952,0.9500000000000001,neutral
1953,-8.375,elnino
1954,4.4,neutral
1955,16.15,lanina
1956,9.025,lanina
1957,-5.375,neutral
1958,1.7,neutral
1959,-4.025,neutral
1960,4,neutral
1961,3.469446951953614e-17,neutral
1962,3.5749999999999997,neutral
1963,-4.55,neutral
1964,10.65,lanina
1965,-15.25,elnino
1966,0.44999999999999996,neutral
1967,4.8,neutral
1968,4.25,neutral
1969,-5.625,neutral
1970,5.300000000000001,neutral
1971,8.75,lanina
1972,-13.575000000000001,elnino
1973,11.05,lanina
1974,8.375,lanina
1975,19.95,lanina
1976,-9.425,elnino
1977,-13.475,elnino
1978,3.525,neutral
1979,-1.5,neutral
1980,-2.5500000000000003,neutral
1981,8.575,lanina
1982,-21.1,elnino
1983,-0.17499999999999985,neutral
1984,-0.44999999999999973,neutral
1985,-0.7999999999999998,neutral
1986,0.02499999999999991,neutral
1987,-15.975000000000001,elnino
1988,10.600000000000001,lanina
1989,4.050000000000001,neutral
1990,-1.525,neutral
1991,-7.8500000000000005,elnino
1992,-4.375,neutral
1993,-12.1,elnino
1994,-15.7,elnino
1995,1.675,neutral
1996,8.05,lanina
1997,-17.05,elnino
1998,11.35,lanina
1999,1.875,neutral
2000,1.5,neutral
2001,-2.175,neutral
2002,-9.174999999999999,elnino
2003,-3.275,neutral
2004,-8.125,elnino
2005,0.12499999999999992,neutral
2006,-8.9,elnino
2007,1.025,neutral
2008,7.25,lanina
2009,-0.44999999999999996,neutral
2010,16.5,lanina
2011,6.175,neutral
2012,-3.625,neutral
2013,6.35,neutral
2014,-5.875,neutral
2015,-16.075,elnino
2016,7.2,lanina
2017,1.9749999999999999,neutral
2018,-5.2,neutral
2019,-8.2,elnino
2020,3.7250000000000005,neutral
2021,8.1,lanina
2022,14.325,lanina
